Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit,Standardized_SMILES
CHEMBL4561204,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c(C)c1,90.0,nM,Cc1ccc(N2C(=O)C(=Cc3ccc(F)cc3)SC2=NNC(=O)c2cc3ccccc3oc2=O)c(C)c1
CHEMBL4469426,COc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90.0,nM,COc1cccc(N2C(=O)C(=Cc3ccc(F)cc3)SC2=NNC(=O)c2cc3ccccc3oc2=O)c1
CHEMBL4463785,COc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90.0,nM,COc1ccccc1N1C(=O)C(=Cc2ccc(F)cc2)SC1=NNC(=O)c1cc2ccccc2oc1=O
CHEMBL4127059,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90.0,nM,Cc1ccc(N2C(=O)C(=Cc3ccc(F)cc3)SC2=NNC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL4441658,Cc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90.0,nM,Cc1ccccc1N1C(=O)C(=Cc2ccc(F)cc2)SC1=NNC(=O)c1cc2ccccc2oc1=O
CHEMBL4557506,Cc1cccc(C)c1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90.0,nM,Cc1cccc(C)c1N1C(=O)C(=Cc2ccc(F)cc2)SC1=NNC(=O)c1cc2ccccc2oc1=O
CHEMBL4468394,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)cc1
CHEMBL4450153,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)cc1
CHEMBL4444058,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)cc1
CHEMBL4442767,Cc1cccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)c1,100.0,nM,Cc1cccc(C(=O)N=c2scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)c1
CHEMBL4457996,COc1ccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)cc1,100.0,nM,COc1ccc(C(=O)N=c2scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)cc1
CHEMBL4444856,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)cc1
CHEMBL4526576,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)cc1
CHEMBL4535006,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)cc1
CHEMBL4543754,Cc1cs/c(=N\C(=O)c2ccccc2Cl)n1-c1cc(Cl)c(Cl)cc1Cl,100.0,nM,Cc1csc(=NC(=O)c2ccccc2Cl)n1-c1cc(Cl)c(Cl)cc1Cl
CHEMBL4465117,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)cc1
CHEMBL4443277,Cc1cs/c(=N\C(=O)c2cc3ccccc3oc2=O)n1-c1cc(Cl)c(Cl)cc1Cl,100.0,nM,Cc1csc(=NC(=O)c2cc3ccccc3oc2=O)n1-c1cc(Cl)c(Cl)cc1Cl
CHEMBL4476028,Cc1cs/c(=N\C(=O)c2ccco2)n1-c1cc(Cl)c(Cl)cc1Cl,100.0,nM,Cc1csc(=NC(=O)c2ccco2)n1-c1cc(Cl)c(Cl)cc1Cl
CHEMBL4459920,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)cc1
CHEMBL4592050,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)cc1,100.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)cc1
CHEMBL3349437,OC[C@@]1(O)C[C@H](NCCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,100.0,nM,OCC1(O)CC(NCCc2ccccc2)C(O)C(O)C1O
CHEMBL2051759,CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,100.0,nM,COC1OC(CO)C(NC2CC(O)(CO)C(O)C(O)C2O)C(O)C1O
CHEMBL75971,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,120.0,nM,CN1CC(O)C(O)C(O)C1CO
CHEMBL4440783,Cc1ccccc1C(=O)/N=c1\scc(C)n1-c1cc(Cl)c(Cl)cc1Cl,150.0,nM,Cc1ccccc1C(=O)N=c1scc(C)n1-c1cc(Cl)c(Cl)cc1Cl
CHEMBL4456568,Cc1cs/c(=N\C(=O)c2cccc3ccccc23)n1-c1cc(Cl)c(Cl)cc1Cl,150.0,nM,Cc1csc(=NC(=O)c2cccc3ccccc23)n1-c1cc(Cl)c(Cl)cc1Cl
CHEMBL3814496,O=[N+]([O-])c1ccccc1CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],150.0,nM,O=[N+]([O-])c1ccccc1COC(CO)C(O)C[S+]1CC(O)C(O)C1CO
CHEMBL4470451,CCn1c2ccccc2c2cc(NC(=O)CSc3nc4ccccc4[nH]3)ccc21,170.0,nM,CCn1c2ccccc2c2cc(NC(=O)CSc3nc4ccccc4[nH]3)ccc21
CHEMBL3354062,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccccc1-c1ccccc1,200.0,nM,OCC1C(O)C(O)C(O)CN1CCCCCOCc1ccccc1-c1ccccc1
CHEMBL3354063,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1cccc(-c2ccccc2)c1,200.0,nM,OCC1C(O)C(O)C(O)CN1CCCCCOCc1cccc(-c2ccccc2)c1
CHEMBL3349441,OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,200.0,nM,OCC1(O)CC(NCc2cccs2)C(O)C(O)C1O
CHEMBL3349435,OC[C@@]1(O)C[C@H](NCc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,230.0,nM,OCC1(O)CC(NCc2ccc(Br)cc2)C(O)C(O)C1O
